Company,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,President,Director of Acquisitions,Head of Corporate Development,Director of Asset Management,Head of Investor Relations,Chairman of the Board,VP/Head of Exploration,Chief Geologist
Premier Gold Mines Limited,Ewan S. Downie,Steven J. Filipovic,Brent Kristof,Ewan S. Downie,,Stephen McGibbon,,,John A. Begeman,,
Premier Royalty Inc.,Abraham P. Drost,Eugene T. Lee,,Abraham P. Drost,,,,,,,
"Premium Exploration, Inc.","John P. Ryan, John Ryan",,,John Ryan,,,,,John Ryan,,James G. Baughman
Pretium Resources Incorporated,Joseph J. Ovsenek,Tom S. Q. Yip,,Joseph J. Ovsenek,,,,,Robert A. Quartermain,Kenneth C. McNaughton,Warwick Board
Pretium Resources Incorporated,,,,,,,,,,,
Prima Biomed Ltd.,Marc Voigt,,Deanne Miller,,,,,,Lucinda M F Hughes Turnbull,,
Primary Gold Limited,Garry Mills,,,,,,,,,Marat Abzalov,
Primary Metals Inc (Sojitz Corp),,,,,,,,,,,
Prime Meridian Resources Corp.,"Brian E. B. Leeners, Brian Leeners",Ed Low,,Michael Alexander Dehn,,Gregory Pearson,,,,,
Primero Gold Canada Inc.,Wade K. Dawe,Jon Legatto,Daniel Racine,Daniel Racine,,,,,,Howard M. Bird,
Primero Mining Corp.,Joseph Francis Conway,Kevin Patrick Jennings,Damien Marantelli,Joseph Francis Conway,,,,,Wade D. Nesmith,,
Primorus Investments PLC,,,,,,,,,Jeremy Taylor-Firth,,
Prism Resources Inc.,Robert William Baxter,Scott M. Ross,,Robert William Baxter,,,,,,Richard Dufresne,
Prize Mining Corporation,,,,,,,,,,,
Pro Minerals Inc.,Patrick D. O'Brien,Darrin L. McCormack,,Patrick D. O'Brien,,,,,Patrick D. O'Brien,,
ProAm Explorations Corp.,,W. Rex Davidson,,,,,,,,,
Probe Metals Inc.,David A. S. Palmer,Carmelo Marrelli,Yves Dessureault,David A. S. Palmer,,Patrick J. Langlois,,,Jamie Calvin Sokalsky,,
Probe Mines Limited,David A. S. Palmer,Carmelo Marrelli,Yves Dessureault,David A. S. Palmer,,Patrick J. Langlois,,,Jamie Calvin Sokalsky,,
Probe Resources Ltd.,,,,,,,,,,,
Proccea Construction Co.,,,,,,,,,,,
Prodigy Gold Inc.,,,Fred Mason,,,,,,Michael E. J. Phelps,,
Promesa Limited,,,,,,,,,Hersh Solomon Majteles,,
Prominex Resource Corporation,Gordon Barron,Gordon MacNiel,,Gordon Barron,,,,,,,
Prophecy Development Corp.,John Lee,Irina Plavutska,Bekzod Kasimov,,,,,,John Lee,,Christopher M. Kravits
Prorata Ltd.,,,,,,,,,,,
Prospect Global Resources Inc.,Gregory M. Dangler,Gregory M. Dangler,,Gregory M. Dangler,,,,,Barry A. Munitz,,
Prospect Resources Limited,,Chris Hilbrands,Gavin Stevens,,,,,,Hugh David Warner,,Roger Tyler
Prospector Resources Corp.,,Kathryn Johnson,Timothy Williams,,,Jose Luis Martinez,,,,,
Prosper Gold Corp.,Peter Bernier,Sharon Lee,James Hedalen,Peter Bernier,,,,,Peter Bernier,Dirk Tempelman-Kluit,
Prosperity Resources Limited,Mohammed Ibrahim Munshi,,,,,,,,Mohammed Ibrahim Munshi,,
Prospero Group,,,,,,,,,,,
Prospero Silver Corporation,Tawn Dewey Albinson Fatiguant,David Huffer,,Tawn Dewey Albinson Fatiguant,,,,,William F. Murray,Martin Soto,Lino Larraga
Prospex Oil and Gas Plc,Edward Roland Dawson,,,,,,,,William Hartman Smith,,
Proto Resources and Investments Limited,Andrew Kenneth Bruce Mortimer,,Ashley Hood,,,,,,Steve Mitchell Shilkin,,
Providence Resources Corporation,Vince Sorace,Gavin Cooper,,Vince Sorace,,,,,Vince Sorace,Daniel MacNeil,
PSM Exploration Inc.,Colin Bird,Richard M. Giel,Martin Gallon,Colin Bird,,,,Chiara Orrigoni,Kaare G. Foy,Martin Gallon,
PT Adaro Energy Tbk,Garibaldi Thohir,David Tendian,Ah Hoo Chia,Garibaldi Thohir,,,,,Edwin Soeryadjaya,,
PT Antam (Persero) Tbk,Arie Prabowo Ariotedjo,Dimas Wikan Pramudhito,Hari Widjajanto,,,,,,Fachrul Razi,,
PT Bara Jaya Internasional Tbk.,. Yanto,,,,,,,,H. Herry Tjahjana,,
PT Baramulti Suksessarana Tbk,,Eric Rahardja,Kamlesh Kumar,. Khoirudin,,,,,Doddy Sumantyawan Hadidojo Soedaryo,,
"PT Berau Coal Energy, Tbk.",,,,Fuganto Widjaja,,,,,Gandi Sulistiyanto Soeherman,,
PT Bukit Asam (Persero) Tbk.,,Orias Petrus Moedak,Suryo Eko Hadianto,Arviyan Arifin,,,,,Agus Suhartono,,
PT BUMI Resources Tbk.,Saptari Hoedaja,,,Saptari Hoedaja,,,,,Eddie Junianto Subari,,
PT Golden Energy Mines Tbk - Historical,,,,,,,,,,,
PT Indo Tambangraya Megah Tbk.,,Yulius Kurniawan Gozali,Andre Herman Bramantya Putra,Kirana Limpaphayom,,,,,Ibrahim Yusuf,,
PT J Resources Asia Pasifik Tbk,,,,Jimmy Budiarto,,,,,Christian Wijayanto Adinugroho Jap,Adi Maryono,
"PT Merdeka Copper Gold, Tbk.",Colin Francis Moorhead,David Thomas Fowler,,Adi Adriansyah Sjoekri,,,,,Edwin Soeryadjaya,,
PT Mitrabara Adiperdana Tbk,,,,. Ridwan,,,,,Yo Angela Soedjana,,
PT TIMAH (Persero) Tbk,,Emil Ermindra,Alwin Albar,Mochtar Riza Pahlevi Tabrani,,,,,Fachry Ali,,
PT Vale Indonesia Tbk.,Nicolas D. Kanter,Febriany Eddy,Lovro Paulic,Nicolas D. Kanter,,,,,Jennifer Anne Maki,,
"PT. Bayan Resources, Tbk",Wai Fong Chin,Alastair Gordon C. McLeod,Chai Hock Lim,Wai Fong Chin,,,,,Tuck Kwong Low,Russell John Neil,
"PT. Central Omega Resources, Tbk",,Feni Silviani Budiman,Kurniadi Atmosasmito,Kiki Hamidjaja,,,,,Johnny N. Wiraatmadja,,
PT. Golden Energy Mines Tbk,. Bonifasius,Kumar Krishnan,,. Bonifasius,,,,,Lay Krisnan Cahya,,
PT. Harum Energy Tbk,,Ray Antonio Gunara,Kenneth Scott Andrew Thompson,Ray Antonio Gunara,,,,,Lawrence Barki,,
Pulsat Communications Ltd.,,,,,,,,,,,
Puma Exploration Inc.,Marcel Robillard,Ginette G. Brisson,,Marcel Robillard,,,,,Arness William Ross Cordick,Dominique Gagné,"Dominique Gagné, Simon Bernier"
Pure Energy Minerals Limited,R. Patrick Highsmith,Paul H. Zink,,R. Patrick Highsmith,,,,,,,
Pure Gold Mining Inc.,Darin Labrenz,Sean Tetzlaff,Ken Donner,Darin Labrenz,,,,,Graeme Currie,Philip Smerchanski,Christopher Lee
Pure Minerals Limited,Sean Keenan,,,,,,,,Jeremy King,,
Pure Nickel Inc.,David R. McPherson,Thomas S. Kofman,,David R. McPherson,,,,,Robert David Russell,,
Purepoint Uranium Group Inc.,Christopher Frostad,Ram Ramachandran,,Christopher Frostad,,,,,,Scott R. Frostad,Roger Watson
Q Resources Plc,,,,,,,,,Ivan James Bowen Murphy,,
Q2 Gold Resources Inc.,Kenneth R. Shannon,,,Kenneth R. Shannon,,,,,Anthony F. Holler,,
Qex Resources Inc.,,,,,,,,,,,
Q-Gold Resources Ltd.,J. Bruce Carruthers II,Eric A. Gavin,,J. Bruce Carruthers II,,,,,J. Bruce Carruthers II,,
QGX Ltd (Kerry Holdings),,,,,,,,,,,
"Qinghai Jinrui Mineral Development Co., Ltd",? ??,? ??,,,,,,,? ??,,
QKR Corporation Limited,,,,,,,,,,,
QMC Quantum Minerals Corp.,Balraj Mann,Edward Low,,Balraj Mann,,,,,,,
QMX Gold Corporation,Brad Humphrey,Deborah Battiston,,Brad Humphrey,,,,,Fred Leigh,Jules Riopel,
QNI Ltd. (BHP Billiton Ltd.),,,,,,,,,,,
Quadro Resources Ltd.,T. Barry Coughlan,,,T. Barry Coughlan,,,,,T. Barry Coughlan,,
Quantum Numbers Corp.,"Jean Charles Phaneuf, Marc Labrecque","Patrick J. Power, Pierre C. Miron",,"Jean Charles Phaneuf, Marc Labrecque",,,,,"Marc Labrecque, Theodor Colivas",,
Quantum Resources Limited,Avrohom Kimelman,,,,,,,,Eliahu Bernstein,,
Quartz Mountain Resources Ltd.,Ronald W. Thiessen,Michael Lee,,Ronald W. Thiessen,,,,,Scott D. Cousens,,
Quasar Resources Pty Ltd (Heathgate),,,,,,,,,,,
Quaterra Resources Inc.,Thomas C. Patton,Lei Wang,Gerald Prosalendis,Gerald Prosalendis,,,,,Thomas C. Patton,,Thomas Turner
Quaterra Resources Inc.,,,,,,,,,,,
Queensland Bauxite Limited,Sholom D. Feldman,,,,,,,,Pnina Feldman,,Robert Coenraads
Queensland Mining Corporation Limited,Fei Wu,Pipvide Tang,,,,,,,Lakshman Dissanayake Jayaweera,Guojian Xu,Guojian Xu
Queenston Mining Inc.,,John A. Francis,,,,,,,Michael J. H. Brown,,
Quest Capital Corp.,,,,,,,,,,,
Quest Minerals Ltd.,,Wayne John Kernaghan,,,,,,,Steven Allen Formica,,
Quest Rare Minerals Ltd.,Pierre Lortie,Alain Wilson,Dirk Naumann,Dirk Naumann,,,,,Pierre Lortie,,
Quetzal Energy Ltd.,,,,,,,,,,,
Quincy Energy Corp,,,,,,,,,,,
Quinto Mining Corp,,,,,,,,,,,
Quinto Real Capital Corporation,Michael Curtis,Marcel Bergeron,,Michael Curtis,,,,,,,
Quri Resources Inc.,,,,,,,,,,,
R.J.K. Explorations Limited,Glenn C. Kasner,Amanda Kasner,,Glenn C. Kasner,,,,,,,
Rackla Metals Incorporated,Simon T. P. Ridgway,Kevin Bales,,Simon T. P. Ridgway,,Ralph Rushton,,,,Roger Hulstein,
Radar Iron Limited,,,,,,,,,Alan Ronald Tough,,
Radiant Creations Group Inc.,Michael S. Alexander,Gary D. Alexander,,Michael S. Alexander,,,,,Michael S. Alexander,,
Radiant Resources Inc,,,,,,,,,,,
Radisson Mining Resources Inc.,Mario Bouchard,Donald Lacasse,,Mario Bouchard,,,,,Denis V. Lachance,,
Radium Resources Corp.,,,,,,,,,,,
Radius Gold Incorporated,Simon T. P. Ridgway,Kevin Bales,,Simon T. P. Ridgway,,,,,,,David Clark
Rae-Wallace Mining Co.,,Margo Guidi,,Christopher O. Irwin,,,,,,,
Rainbow Rare Earths Limited,Martin Eales,Jim E.G.M. Wynn,,,,,,,Adonis Pouroulis,,Joël Ntungwanayo
Rainmaker Resources Ltd.,Christopher Martin Healey,Daniel Vinegar,,Christopher Martin Healey,,,,,,,
Rainy Mountain Royalty Corporation,Douglas L. Mason,Sead Hamzagic,,Douglas L. Mason,,,,,Douglas L. Mason,Robert S. Middleton,
Rainy River Resources Limited,Robert J. Gallagher,Brian Penny,Michael A. Mutchler,Robert J. Gallagher,,,,,,Kerry E. Sparkes,
Ram Resources Limited,Charles William Guy,,,,,,,,Neville John Bassett,Xavier Draud,Xavier Draud
Rambler Metals and Mining Plc,Norman Patrick Williams,Tim Slater,,Norman Patrick Williams,,,,,Bradford Alan Mills,,
Rambler Metals and Mining Plc,,,,,,,,,,,
Ramelius Resources Limited,Mark William Zeptner,Simon Iacopetta,Duncan Coutts,,,,,,Robert Michael Kennedy,Kevin Mark Seymour,Rob Hutchison
Rand Mining Limited,Anthony B. Billis,Roland Berzins,,,,,,,Otakar Demis,,
Randgold & Exploration Company Limited,Marais Steyn,Van Zyl Botha,,,,,,,David Chaim Kovarsky,,
Randgold Resources Limited,Dennis Mark Bristow,Graham Patrick Shuttleworth,,,,,,,Christopher L. Coleman,Joel Holliday,
Randsburg International Gold Corporation,Michael Opara,Matthew Chodorowicz,,Michael Opara,,,,,,,
Range Resources Limited,Yan Liu,Nick Beattie,Lijun Xiu,,,Evgenia Bezruchko,,,Zhiwei Gu,,
Rapier Gold Inc.,David Lotan,Alexander S. Peck,,David Lotan,,,,,,,Gary Wong
Raptor Resources Limited,Brett Wallace,,,,,,,,Brett Wallace,,
Rare Earth Exporters of Mongolia,,,,,,,,,,,
Rare Element Resources Limited,Randall J. Scott,Randall J. Scott,Randall J. Scott,Randall J. Scott,,,,,Gerald W. Grandey,,
Rathdowney Resources Limited,Robert Konski,Andrew Ing,,Robert Konski,,,,,David J. Copeland,,Lena K. Brommeland
Rathdowney Resources Limited,,,,,,,,,,,
Raudin Exploration Inc.,,,,,,,,,,,
Raven Gold Corp.,,,,,,,,,,,
Rayrock Resources Inc. (Goldcorp),,,,,,,,,,,
Razore Rock Resources Inc.,Michael Wilson,Rodger Roden,,Michael Wilson,,Gary F. Zak,,,,,
RB Energy Inc.,Richard P. Clark,Alessandro Bitelli,Kevin J. Ross,Richard P. Clark,,,,Olav Svela,,Hugh Stuart,
RBR Group Limited,Richard Anthony Edouard Carcenac,Patrick Soh,,,,,,,Ian Keith MacPherson,,
Rea Gold Corp.,Ian B. Smith,,,Ian B. Smith,,,,,,,
Real Del Monte Mining Corp.,Alex Bissett,,G. Chaun Cadwell,Alex Bissett,,,,,,,
Real Gold Mining Limited,Sean Zhang,Feng Li,,,,,,,Chunxiang Lu,,
Realm Resources Limited,Glen Richard Lewis,Theo Noel Renard,,,,,,,Gordon Thomas Galt,,
REBgold Corporation,,,,,,,,,,,
Red 5 Limited,Mark James Williams,Joe Mobilia,,,,,,,Kevin Anthony Dundo,Byron Dumpleton,Byron Dumpleton
Red Back Mining Inc.,,,,,,,,,,,
Red Back Mining NL,,,,,,,,,,,
Red Crescent Resources Holding Anonim ?irketi,,,Muhannad Arar,,,Douglas Taylor,,,,,
Red Crescent Resources Limited,Cem Elmastas,Harvey McKenzie,Selahaddin Anaç,Cem Elmastas,,,,,,,
Red Eagle Exploration Limited,Ian Slater,Chui Wong,Ana Milena Vasquez,,,Patrick Balit,,,Ian Slater,David Thomas,Raul Sanabria
Red Eagle Exploration Limited,,,,,,,,,,,
Red Eagle Mining Corporation,Ian Slater,Chui Wong,,,,Patrick Balit,,,Ian Slater,Jeffrey Toohey,
Red Eagle Mining Corporation,,,,,,,,,,,
Red Emperor Resources NL,Gregory Bandy,,,,,,,,Gregory Bandy,,
Red Gum Resources Limited,Paul Simmons,"Mark Englebert, Victoria Allinson",,,,,,,Robert Charles Kucera,,
Red Hill Energy Ltd,,,,,,,,,,,
Red Hill Iron Limited,Neil Tomkinson,,,,,,,,Neil Tomkinson,,
Red Hut Metals Inc.,Robert Eadie,Gary Vittorio Arca,,Robert Eadie,,,,,,,
Red Metal Limited,Robert Alexander Rutherford,,,,,,,,Russell Christopher Barwick,Robert Alexander Rutherford,Robert Alexander Rutherford
Red Metal Resources Ltd.,Caitlin Leigh Jeffs,Joao da Costa,,Caitlin Leigh Jeffs,,,,,,Michael John Thompson,
Red Moon Resources Inc.,Patrick J. Laracy,Jennifer Button,,Patrick J. Laracy,,,,,,,
Red Mountain Mining Limited,,,,,,,,,,Geoffrey Boswell,
Red Ore Gold Inc,,Douglas Wallis,,,,,,,,,
Red Pine Exploration Inc.,Quentin Yarie,Marc Johnson,Quentin Yarie,Quentin Yarie,,,,,Petra Decher,Craig Scherba,
Red River Resources Limited,Melkon Palancian,Cameron Bodley,Karl Spaleck,,,,,,Brett Fletcher,Rebecca Williams,Rebecca Williams
Red Rock Energy Inc.,Krishna Vathyam,Bruce Cameron,,Marino Ostos Rosales,,,,,Jose Francisco Arata,,
Red Rock Resources Plc,Andrew Ronald McMillan Bell,,,,,,,,Andrew Ronald McMillan Bell,,
Red Tiger Mining Inc.,David Lurie,David Lurie,,David Lurie,,,,,,,
Redbank Copper Limited,Michael George Fotios,,,,,,,,Michael George Fotios,,
Redcliffe Resources Limited,Rodney David Foster,,,,,,,,Rodney David Foster,,
Redcorp Ventures Ltd,,,,,,,,,,,
"Redhawk Resources, Inc.",R. Joe Sandberg,Alexander S. Peck,,R. Joe Sandberg,,,,,J. Stephen Barley,R. Joe Sandberg,
Redport Ltd,,,Peter McNally,,,Peter McNally,,,,,
Redstar Gold Corporation,Peter A. Ball,Mark T. Brown,,Peter A. Ball,,,,,Jacques Vaillancourt,Jesse C. Grady,
Redstone Resources Limited,Richard Homsany,Miranda Conti,"Brett James Hodgins, Miranda Conti",Richard Homsany,,,,,Richard Homsany,Brett James Hodgins,
Redtail Metals Corp.,,,,,,,,,,,
Redzone Resources Limited,Michael D. Murphy,Rebecca Moriarty,,Michael D. Murphy,,,,,,,
Reedy Lagoon Corporation Limited,Geoffrey H. Fethers,,,,,,,,Jonathan Mark Hamer,,
Regal Resources Inc.,Gregory Michael Thomas,Tony Louie,,Gregory Michael Thomas,,Drew N. Brass,,,,,
Regalito Copper Corp (Pan Pacific Copper),,,,,,,,,,,
Regalpoint Resources Limited,,,,,,,,,Shane Leslie Stone,,
Regency Gold Corp.,William Joseph Radvak,Kelsey Chin,George James,William Joseph Radvak,,Elie Farah,,,William Joseph Radvak,,
Regency Mines Plc,Andrew Ronald McMillan Bell,,Scott Christopher Kaintz,,,,,,Andrew Ronald McMillan Bell,,
Regent Pacific Group Limited,Jamie Alexander Gibson,Frankie Wong,,,,,,,James Mellon,,
Regent Ventures Ltd.,,Douglas E. Eacrett,,,,,,,,,
Regis Resources Limited,Mark John Clark,Kim Massey,Paul Thomas,,,Myles Ertzen,,,Mark John Clark,,Peter Woodman
Regulus Resources Inc.,John E. Black,Mark Wayne,,John E. Black,,,,,,Javier A. Robeto,Kevin B. Heather
Regulus Resources Inc.,John E. Black,Mark Wayne,Fernando Pickmann,Fernando Pickmann,,,,,,,Kevin B. Heather
Reliance Industries Limited,,,,Vinod M. Ambani,,,,Hemen Kanu Modi,,,
Reliance Mining Ltd (Consolidated Minerals),,,,,,,,,,,
Reliant Gold Corp.,Kabir Ahmed,Peter W. Hogg,,Kabir Ahmed,,,,,Kabir Ahmed,,
Remington Resources Inc.,Brent Hahn,Tara Haddad,,Brent Hahn,,,,,,,
Remo Resources Inc.,Stephen P. Kenwood,Wei Li Chuang,,Stephen P. Kenwood,,,,,,,
Renaissance Gold Inc.,Ronald L. Parratt,Dan O'Brien,,Robert P. Felder,,,,,Ronald L. Parratt,Dan Pace,Mark F. Coolbaugh
Renaissance Minerals Limited,Justin Albert Tremain,Brett Dunnachie,,,,,,,,,Craig Johnson
Renaissance Oil Corp.,Craig Arthur Allan Steinke,Carlos Javier Escribano,Carol Law,,,,,,,,
Renascor Resources Limited,David E. Christensen,Mauro Angelo Gaudio,,,,,,,Richard Edward Keevers,Geoffrey William McConachy,
Rencore Resources Ltd.,Richard E. Nemis,,,Richard E. Nemis,,,,,,,
Renforth Resources Inc.,Nicole Brewster,Kyle Appleby,,Nicole Brewster,,,,,,,
Reno Gold Corp.,Paul Diana,Talal Chehab,,Paul Diana,,,,,Joseph De Rose,,
Renova Group,,,Alexey Valeriyevich Moskov,,,,,,Viktor Feliksovich Vekselberg,,
RepliCel Life Sciences Inc.,R. Lee Buckler,,,R. Lee Buckler,,,,,David M. Hall,,
Republic Gold Limited,,,,,,,,,Raymond John Shorrocks,,
Republic Goldfields Inc.,Donald Empey,Howard E. Ellison,,Donald Empey,,,,,,,
Republic of India,,,,,,,,,,,
Reservoir Capital Corp.,John Fox,Christina Cepeliauskas,,,,,,,,,
Reservoir Minerals Inc.,Simon H. Ingram,David Lindsay Miles,Timothy R. Livesey,Simon H. Ingram,,Christopher Randall MacIntyre,,,Miles Frederick Thompson,Timothy Fletcher,
ResMetco Ltd.,,,,,,,,,,,
Resolute Mining Limited,John Paul Welborn,Lee-Anne de Bruin,Peter A. Beilby,,,,,,Marthinus John Botha,Bruce Mowat,
Resolve Ventures Inc.,David Baker,Vivian Gu,,David Baker,,,,,,,
Resource Base Limited,,,,,,,,,,,
Resource Capital Gold Corp.,George S. Young,Jack R. Cartmel,Michael P. Gross,George S. Young,,,,,Gary L. Lewis,,
Resource Generation Limited,Robert Lowe,Brendan O'Regan,Zirk van der Bank,,,,,,Denis Gately,,
Resource Mining Corporation Limited,Warwick Jeffrey Davies,,,,,,,,William Ross Mackenzie,,
Ressources Appalaches Inc.,Alain Hupé,Alain Hupé,,Alain Hupé,,,,,,,Leah Page
Reunion Gold Corporation,Réjean Gourde,Alain Krushnisky,Joachim Bayah,Réjean Gourde,,,,,David A. Fennell,,
Reunion Mining Plc,,,,,,,,,,,
Revelo Resources Corp.,Timothy J. Beale,Doug Reed,,Timothy J. Beale,,,,,Michael Dempsey Winn,John Davidson,
"Revett Mining Company, Inc.",John G. Shanahan,Kenneth S. Eickerman,Douglas Miller,John G. Shanahan,,,,,Timothy R. Livesey,,
Revolution Technologies Inc.,Sean Felker,Sean Felker,,,,,,,Sean Felker,,
Revonergy Inc.,Ravi K. Daswani,Kenneth G. C. Telford,,Ravi K. Daswani,,,,,,,
Reward Minerals Limited,Michael Ruane,,,,,,,,Colin James McCavana,,
Rex Minerals Limited,Richard Laufmann,Amber Rivamonte,,,,,,,David Carland,,
Rex Opportunity Corp.,James Patrick Boyle,James Patrick Boyle,,James Patrick Boyle,,,,,,,
Rey Resources Limited,Jin Wei,,,,,,,,Min Yang,,
Rheingold Exploration Corp.,Erik Paul Pedersen,Richard Robins,,Erik Paul Pedersen,,,,,,,
Rhino Exploration Ltd.,,,,,,,,,,,
Rhonda Corp.,Glen R. Alston,Glen R. Alston,,,,,,Robert L. D'Artois,Bernard A. Benning,,
Rhyolite Resources Limited,Richard A. Graham,John G. Downes,,Richard A. Graham,,,,,,,
Richfield Ventures Corp.,,,,,,,,,,,
Richland Resources Limited,Bernard Olivier,Louis Swart,,,,Laurence Read,,,Edward Francis Gerard Nealon,,
Richmond Minerals Inc.,Franz Kozich-Koschitzky,Victoria Kuklina,,Franz Kozich-Koschitzky,,,,,,Warren Hawkins,
Richmont Mines Incorporated,Renaud Adams,Robert J. Chausse,Christian Bourcier,Renaud Adams,,,,,René L. Marion,Daniel Adam,Raynald Vincent
Richview Resources Inc,Shlomo Prizant,,,Shlomo Prizant,,,,,,,
Riddarhyttan Resources AB,,,,,,,,,,,
Ridge Mining Limited Plc,,,,,,,,,,,
Riedel Resources Limited,Jeffrey John Moore,,,,,,,,Jeffrey John Moore,Jeffrey John Moore,
Rift Resources Plc,,,,,,,,,,,
Rift Valley Resources Corp.,Craig George Thomas Robson,Donald Gordon,,Craig George Thomas Robson,,,,,,,
Rift Valley Resources Limited,Geoffrey Mark Gilmour,,,,,,,,Stephen John Dobson,Gregory Cunnold,Gregory Cunnold
Rimfire Minerals Corporation,,,,,,,,,,,
Rimfire Pacific Mining NL,John Adrian Kaminsky,,,,,,,,Ian James McCubbing,,Colin Plumridge
Rimrock Gold Corporation,Jordan Starkman,Jordan Starkman,,Jordan Starkman,,,,,,,Vishal Gupta
Rio Algom Limited,,,,,,,,,,,
Rio Alto Mining Limited,Alexander Black,Kathryn Johnson,Eduardo Loret de Mola de Lavalle,Alexander Black,,,,,Klaus M. Zeitler,Enrique Garay,Enrique Garay
Rio Alto Mining Ltd,,,,,,,,,,,
Rio Grana Resources Inc.,,,,,,,,,,,
Rio Novo Gold Inc.,Robert Patrick Panero,Carmelo Marrelli,,Robert Patrick Panero,,Alexandre Augusto No Penha,,,William Dorson,,
Rio Silver Inc.,Jeffrey J. Reeder,Daniel Hamilton,,Jeffrey J. Reeder,,,,,Steven Brunelle,Ryan Grywul,
Rio Tinto,Jean-Sébastien Jacques,Christopher James Lynch,,,,Peter Ivan Toth,,,Jan P. du Plessis,,
Rio Verde Minerals Development Corp,,,,,,,,,,,
RioZim Limited,Bhekinkosi Nkomo,,,,,,,,Lovemore Pfupajena Chihota,,
Riphean Platinum Corp.,,,,,,,,,,,
Riva Gold Corporation,Richard W. Warke,,,,,,,,Richard W. Warke,,
Riva Resources Limited,Gang Xu,,,,,,,,Jie Chen,,
River Gold Mines Ltd,,,,,,,,,,,
River Rock Energy Limited,,,,,,,,,James Robert Zadko,Graeme Godsman Johnston,Graeme Godsman Johnston
Riverside Resources Inc.,John-Mark Staude,Robert J. Scott,,John-Mark Staude,,Joness Lang,,,,Ronald Burk,
Rizal Resources Corporation,Peter R. Main,Derick Sinclair,Peter R. Main,Peter R. Main,,,,,Neil Grimes,,Scott Robson
RMA Energy Limited,,,,,,,,,Debao Mao,,Chen Zhihong
RMG Limited,,,,,,Neil Giordano,,,Kinpo Yu,,
RNC Gold Inc,,,,,,,,,,,
RNC Minerals,Mark Selby,Timothy Hollaar,Johnna Muinonen,Mark Selby,,John Leddy,,,Scott McKee Hand,Alger St-Jean,
Robex Resources Inc.,Georges Cohen,Augustin Rousselet,Augustin Rousselet,Georges Cohen,,J. Stewart Robertson,,,Georges Cohen,,
Robo 3D Limited,Ryan Legudi,Justin Mouchacca,Randall Waynick,,,,,,,,
Robust Resources Limited,,,Gordon Lewis,,,,,,Ilyas Tariq Khan,Albert Mostert,Adriaan van Herk
Roca Mines Inc.,,David J. Skerlec,,,,,,,,,
Rochester Resources Ltd.,Eduardo Luna,Jose Manuel Silva,,Eduardo Luna,,,,,Nick DeMare,,
Rock Tech Lithium Inc.,Martin Stephan,Bradley R. Barnett,,Martin Stephan,,,,,Dirk Harbecke,,
RockBridge Resources Inc.,Stephen M. Mathiesen,Gary Kenneth Mathiesen,,Stephen M. Mathiesen,,,,,Stephen M. Mathiesen,,
Rockcliff Copper Corporation,Kenneth J. Lapierre,Daniel Crandall,,Kenneth J. Lapierre,,,,,Gerald P. McCarvill,Kenneth J. Lapierre,
Rockcliff Resources Inc.,Kenneth J. Lapierre,Michael D. Kindy,,Kenneth J. Lapierre,,,,,,,
Rockex Mining Corporation,Pierre Gagné,Justin Garofalo,,Pierre Gagné,,,,,Pierre Gagné,,
Rockgate Capital Corp.,,,,,,,,,William A. Rand,,
Rockhaven Resources Limited,Matthew A. Turner,Larry Bryce Donaldson,Ian J. Talbot,Matthew A. Turner,,,,,,Matthew A. Turner,Matthew A. Turner
Rockover Resources,,,,,,,,,,,
Rockshield Capital Corp.,"David J. Doherty, Frank Taggart",Nick DeMare,,"David J. Doherty, Frank Taggart",,,,,,,
Rockwealth Resources Corp.,Devinder Randhawa,Ryan Cheung,Brian A. Lueck,,,,,,Devinder Randhawa,,
Rockwell Diamonds Incorporated,Tjaart Willemse,Johan Oosthuizen,,,,,,,Dennis Mark Bristow,,
"Rockwood Holdings, Inc.",Robert J. Zatta,Robert J. Zatta,,,,,,,Seifi Ghasemi,,
Rodin Communications Acorp,,,,,,,,,,,
Rogue Resources Inc.,Sean Samson,Angela Yap,,Sean Samson,,,,,,,
Rojo Resources Ltd.,Allen Morishita,Patricia Wilson,,Allen Morishita,,,,,Allen Morishita,,
Rokmaster Resources Corporation,John M. Mirko,Dennis Cojuco,,John M. Mirko,,,,,Michael Cowin,,
Rolling Rock Resources Corp.,Scott Angus,Doris Meyer,,Scott Angus,,,,,,,
Romarco Minerals Inc.,Diane Renee Garrett,Stanton K. Rideout,James R. Arnold,Diane Renee Garrett,,,,,Leendert G. Krol,,James M. Berry
Rome Resources Limited,Georg H. Schnura,Sheryl A. Jones,,Georg H. Schnura,,,,,,,
Romios Gold Resources Inc.,Anastasios Drivas,Frank van de Water,Frank van de Water,Anastasios Drivas,,,,,,Thomas Skimming,Thomas Skimming
Romulus Resources Ltd.,,Alnesh Mohan III,,,,,,,,,
Rosan Resources Holdings Limited,Hua Yang,Chun On Li,,,,,,,Cunling Dong,,
Roscan Minerals Corporation,Gregory P. Isenor,Mark McMurdie,,Gregory P. Isenor,,,,,,,
Rose Petroleum Plc,Matthew Charles Idiens,Christopher J. Eadie,Kristopher K. Hefton,,,,,,Phillip Edward Jeffcock,,David Patterson
Rose Petroleum Plc,,,,,,,,,,,
Rosehearty Energy Inc.,,,,,,,,,,,
